Accession,PSM
Q8IUD2,637
Q13085,234
P04264,1097
P13645,104
P11498,56
P35908,568
P08107,1080
P09874,108
Q9Y5K6,17
Q96RQ3,790
P52907,120
Q9BQE3,66
P38646,345
P50990,679
Q86UU1,67
P12694,234
Q13263,567
P78527,17
Q5SW79,90
